127.0.0.1 - - [16/Jan/2024:19:59:20 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:23 +0630] "GET /BulletinBoardServletJsp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:23 +0630] "GET /BulletinBoardServletJsp/View/Account/Login.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:23 +0630] "GET /BulletinBoardServletJsp/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:23 +0630] "GET /BulletinBoardServletJsp/css/style.css HTTP/1.1" 200 11640
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:23 +0630] "GET /BulletinBoardServletJsp/js/login.js HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [16/Jan/2024:19:59:25 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/View/Account/Registration.jsp HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/View/Account/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/js/registerAccount.js HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/View/Account/vendor/jquery/jquery.min.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/images/signup-image.jpg HTTP/1.1" 200 20463
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:01:29 +0630] "GET /BulletinBoardServletJsp/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:21 +0630] "POST /BulletinBoardServletJsp/Account/Registration HTTP/1.1" 200 4845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:21 +0630] "GET /BulletinBoardServletJsp/Account/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:21 +0630] "GET /BulletinBoardServletJsp/Account/vendor/jquery/jquery.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:24 +0630] "GET /BulletinBoardServletJsp/View/Account/Login.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:36 +0630] "POST /BulletinBoardServletJsp/Account/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:36 +0630] "GET /BulletinBoardServletJsp/View/Account/Login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:58 +0630] "POST /BulletinBoardServletJsp/Account/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:02:58 +0630] "GET /BulletinBoardServletJsp/View/Account/Login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [16/Jan/2024:20:03:15 +0630] "POST /BulletinBoardServletJsp/Account/Login HTTP/1.1" 200 2877
